kabupaten_kota,kecamatan,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long,jumlah_penduduk,rainfall_intensity,is_rainy_season,elevation_slope_ratio,vegetation_moisture,population_density_proxy,extreme_rainfall
bekasi,cibarusah,63.774,92.039,31.09,52.034,Cropland,0.597,0.394,37.163,2020,1,0,-6.434,107.1108,102578.0,1.4209250625250873,1,37.32711621233859,22.186310999999996,1934.1931591054795,0
bekasi,cibitung,61.963,85.414,29.01,14.027,Cropland,0.301,0.106,36.233,2020,1,1,-6.2357,107.1004,255947.0,1.3565744961326494,1,12.68264014466546,10.906132999999999,17032.47487855194,0
bekasi,cikarangbarat,61.979,83.963,29.01,29.644,Built-up,0.223,0.174,37.117,2020,1,1,-6.2973,107.0941,211039.0,1.3331904285555503,1,25.250425894378193,8.277091,6886.796762824697,0
bekasi,cikarangpusat,47.662,66.183,30.92,34.68,Built-up,0.435,0.347,37.163,2020,1,1,-6.3596,107.1836,68445.0,1.3600550737741977,1,25.746102449888642,16.165905,1918.3015695067265,0
bekasi,cikarangselatan,56.984,77.494,29.01,41.443,Built-up,0.346,0.306,37.163,2020,1,1,-6.3385,107.1279,171742.0,1.3364721302428255,1,31.732771822358345,12.858397999999998,4046.4151921400467,0
bekasi,cikarangtimur,45.702,64.298,28.82,15.164,Cropland,0.375,0.085,37.181,2020,1,1,-6.2885,107.209,110191.0,1.376771872724937,1,13.976036866359447,13.942874999999999,6817.062608265281,0
bekasi,cikarangutara,54.51,74.838,29.01,17.902,Built-up,0.306,0.13,37.048,2020,1,1,-6.2754,107.1556,239769.0,1.34818951540263,1,15.842477876106198,11.336688,12684.848164215426,0
bekasi,karangbahagia,55.15,78.498,29.47,10.334,Cropland,0.334,0.08,35.984,2020,1,0,-6.2172,107.197,133153.0,1.398005342831701,1,9.568518518518518,12.018656000000002,11748.103052761602,0
bekasi,kedungwaringin,50.373,72.076,26.9,10.722,Cropland,0.398,0.076,37.054,2020,1,0,-6.2516,107.2483,76652.0,1.402993790512526,1,9.964684014869887,14.747492000000001,6539.157140419724,0
bekasi,muaragembong,78.545,112.274,27.59,1.597,Permanent water bodies,0.233,0.046,36.033,2020,1,0,-6.0033,107.0499,43722.0,1.4114526368722107,1,1.5267686424474187,8.395689,16835.579514824796,1
