objectid,kode_kec_spatial,nama_prop,nama_kab,nama_kec,jumlah_penduduk,kepadatan_penduduk,jumlah_kk,luas_wilayah,pertumbuhan_2022,pertumbuhan_2021,pertumbuhan_2020,perpindahan_pddk,jumlah_desa,jumlah_kelurahan,perdagangan,nelayan,wiraswasta,tidak_blm_sekolah,slta,s1
,810216.0,MALUKU,MALUKU TENGGARA,HOAT SORBAY,10742.0,10.53569392,2930.0,82.88,1.0,1.0,2.0,101.0,13.0,,2.0,716.0,143.0,2007.0,3006.0,400.0
,520503.0,NUSA TENGGARA BARAT,DOMPU,HU'U,21232.0,9.16138125,6937.0,231.71,1.0,2.0,2.0,57.0,8.0,,63.0,439.0,817.0,8329.0,3959.0,917.0
,950116.0,PAPUA PEGUNUNGAN,JAYAWIJAYA,HUBIKIAK,13711.0,5.18446107,3473.0,,1.0,1.0,1.0,194.0,8.0,,27.0,,519.0,6447.0,2200.0,438.0
,940501.0,PAPUA TENGAH,PUNCAK,ILAGA,12683.0,1.64601337,3965.0,,0.0,1.0,1.0,40.0,9.0,,4.0,1.0,178.0,8298.0,1070.0,554.0
,757109.0,GORONTALO,KOTA GORONTALO,HULONTHALANGI,16935.0,238.36578179,5481.0,8.83,2.0,2.0,2.0,36.0,,5.0,3.0,944.0,990.0,2832.0,5639.0,922.0
,610608.0,KALIMANTAN BARAT,KAPUAS HULU,HULU GURUNG,14454.0,0.45871024,5070.0,442.74,1.0,1.0,1.0,25.0,15.0,,24.0,8.0,1506.0,2379.0,2810.0,619.0
,940213.0,PAPUA TENGAH,PUNCAK JAYA,ILAMBURAWI,5551.0,0.93181139,1498.0,,0.0,0.0,0.0,4.0,5.0,,3.0,,,4539.0,72.0,2.0
,121420.0,SUMATERA UTARA,NIAS SELATAN,HURUNA,12658.0,5.01243629,3122.0,60.2,1.0,1.0,1.0,153.0,17.0,,7.0,,368.0,5019.0,1312.0,280.0
,121319.0,SUMATERA UTARA,MANDAILING NATAL,HUTA BARGOT,9495.0,1.43831226,2720.0,102.76,1.0,2.0,2.0,29.0,14.0,,26.0,1.0,1080.0,2571.0,1684.0,232.0
,950117.0,PAPUA PEGUNUNGAN,JAYAWIJAYA,IBELE,9197.0,3.46860605,2147.0,,0.0,0.0,0.0,15.0,10.0,,,,22.0,6525.0,416.0,38.0
,820107.0,MALUKU UTARA,HALMAHERA BARAT,IBU UTARA,9898.0,4.42541112,3011.0,6300.0,1.0,1.0,1.0,45.0,16.0,,1.0,3.0,197.0,1795.0,2237.0,280.0
,120410.0,SUMATERA UTARA,NIAS,IDANOGAWO,27235.0,30.0888192,6477.0,142.16,1.0,2.0,2.0,162.0,28.0,,17.0,275.0,844.0,10001.0,2638.0,692.0
,531309.0,NUSA TENGGARA TIMUR,LEMBATA,ILE APE TIMUR,6432.0,4.98539159,2005.0,41.85,1.0,1.0,2.0,32.0,9.0,,3.0,32.0,88.0,875.0,1340.0,223.0
,530613.0,NUSA TENGGARA TIMUR,FLORES TIMUR,ILE BOLENG,18186.0,10.29615383,5682.0,50.97,1.0,1.0,1.0,120.0,21.0,,5.0,131.0,423.0,3010.0,3326.0,926.0
,530604.0,NUSA TENGGARA TIMUR,FLORES TIMUR,ILE MANDIRI,12069.0,6.85895533,3431.0,70.64,1.0,1.0,1.0,57.0,8.0,,2.0,148.0,360.0,1597.0,2381.0,790.0
,167101.0,SUMATERA SELATAN,KOTA PALEMBANG,ILIR BARAT DUA,69665.0,197.14841733,21096.0,3.74,1.0,2.0,2.0,540.0,,7.0,198.0,5.0,2709.0,17799.0,20565.0,3850.0
,167106.0,SUMATERA SELATAN,KOTA PALEMBANG,ILIR TIMUR DUA,84949.0,242.29942185,26460.0,17.16,1.0,1.0,2.0,854.0,,6.0,306.0,19.0,3432.0,20400.0,28962.0,5981.0
,340210.0,DAERAH ISTIMEWA YOGYAKARTA,BANTUL,IMOGIRI,64723.0,125.91409911,23014.0,55.19,1.0,1.0,2.0,46.0,8.0,,61.0,2.0,11357.0,14712.0,14698.0,2711.0
,950821.0,PAPUA PEGUNUNGAN,NDUGA,INIYE,3630.0,0.61594482,1534.0,,0.0,1.0,1.0,7.0,6.0,,,,4.0,2881.0,144.0,16.0
,530308.0,NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,INSANA,21543.0,8.25060994,5829.0,259.86,1.0,1.0,2.0,61.0,16.0,1.0,4.0,,668.0,3220.0,3968.0,990.0
,530320.0,NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,INSANA BARAT,11441.0,4.3115279,3211.0,94.33,1.0,1.0,2.0,24.0,12.0,,,,375.0,1967.0,2181.0,472.0
,530319.0,NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,INSANA FAFINESU,6124.0,2.30519976,1705.0,77.81,1.0,2.0,2.0,11.0,6.0,,,1.0,139.0,1037.0,976.0,233.0
,130305.0,SUMATERA BARAT,SIJUNJUNG,IV NAGARI,15957.0,5.02193247,4850.0,140.94,1.0,2.0,1.0,60.0,5.0,,73.0,1.0,1149.0,4365.0,3005.0,793.0
,130112.0,SUMATERA BARAT,PESISIR SELATAN,IV NAGARI BAYANG UTARA,8603.0,1.42201441,2807.0,224.69,1.0,2.0,2.0,38.0,6.0,,26.0,6.0,178.0,1111.0,2152.0,397.0
,130209.0,SUMATERA BARAT,SOLOK,IX KOTO SUNGAI LASI,10896.0,3.03670562,3603.0,134.63,1.0,2.0,2.0,33.0,9.0,,7.0,,888.0,2932.0,1712.0,388.0
,157103.0,JAMBI,KOTA JAMBI,JAMBI TIMUR,66511.0,393.34969715,21027.0,13.8,1.0,1.0,2.0,213.0,,9.0,233.0,13.0,3680.0,10829.0,22992.0,3956.0
,167117.0,SUMATERA SELATAN,KOTA PALEMBANG,JAKABARING,93830.0,266.76992732,27652.0,1432.0,1.0,2.0,2.0,947.0,,5.0,289.0,8.0,3269.0,26756.0,23863.0,6713.0
,150501.0,JAMBI,MUARO JAMBI,JAMBI LUAR KOTA,74178.0,13.97318227,23070.0,345.26,2.0,2.0,2.0,301.0,19.0,1.0,100.0,32.0,10492.0,15832.0,19055.0,3947.0
,321102.0,JAWA BARAT,SUMEDANG,JATINUNGGAL,47468.0,30.04078651,17908.0,64.93,1.0,1.0,2.0,169.0,9.0,,195.0,1.0,6758.0,7698.0,5557.0,1095.0
,331221.0,JAWA TENGAH,WONOGIRI,JATIPURNO,39147.0,20.64546936,13670.0,56.53,1.0,1.0,1.0,94.0,9.0,2.0,1284.0,,10913.0,9200.0,4156.0,572.0
,331301.0,JAWA TENGAH,KARANGANYAR,JATIPURO,35610.0,44.14436515,12042.0,44.33,1.0,1.0,1.0,31.0,10.0,,1268.0,,6181.0,7406.0,5506.0,933.0
,351601.0,JAWA TIMUR,MOJOKERTO,JATIREJO,45184.0,45.69168724,15731.0,87.56,1.0,2.0,2.0,42.0,19.0,,278.0,1.0,6258.0,11860.0,7626.0,1299.0
,320940.0,JAWA BARAT,CIREBON,JAMBLANG,41246.0,38.00293288,14406.0,17.02,1.0,2.0,2.0,63.0,8.0,,87.0,5.0,4785.0,7811.0,8551.0,1171.0
,910304.0,PAPUA,JAYAPURA,SENTANI BARAT,6639.0,0.46754018,1912.0,117.8,1.0,2.0,2.0,71.0,5.0,,7.0,4.0,366.0,1886.0,1933.0,324.0
,332208.0,JAWA TENGAH,SEMARANG,JAMBU,42106.0,41.02740196,14854.0,53.82,1.0,1.0,1.0,87.0,9.0,1.0,413.0,3.0,6246.0,10450.0,6966.0,1047.0
,331215.0,JAWA TENGAH,WONOGIRI,JATIROTO,42249.0,22.17925273,15112.0,80.36,1.0,1.0,1.0,145.0,13.0,2.0,931.0,3.0,3964.0,9182.0,3870.0,491.0
,327510.0,JAWA BARAT,KOTA BEKASI,JATISAMPURNA,114108.0,527.35218461,36300.0,19.51,1.0,2.0,2.0,539.0,,5.0,522.0,1.0,9930.0,23022.0,38138.0,11609.0
,321514.0,JAWA BARAT,KARAWANG,JATISARI,82399.0,42.88312824,29123.0,56.01,1.0,1.0,2.0,247.0,14.0,,23.0,2.0,4946.0,18846.0,16708.0,1593.0
,111803.0,ACEH,PIDIE JAYA,JANGKA BUYA,10801.0,11.40889709,3211.0,12.39,2.0,2.0,2.0,17.0,18.0,,7.0,331.0,749.0,2908.0,2276.0,261.0
,150218.0,JAMBI,MERANGIN,JANGKAT TIMUR,10833.0,1.411649,3540.0,649.92,2.0,2.0,2.0,2.0,14.0,,16.0,1.0,354.0,3366.0,1176.0,250.0
,320823.0,JAWA BARAT,KUNINGAN,JAPARA,24649.0,20.44770001,8297.0,26.7,2.0,2.0,2.0,53.0,10.0,,18.0,,2013.0,4492.0,3248.0,495.0
,160406.0,SUMATERA SELATAN,LAHAT,JARAI,20714.0,4.7631411,6527.0,106.71,1.0,1.0,1.0,37.0,21.0,,33.0,,1162.0,5993.0,4122.0,499.0
,630911.0,KALIMANTAN SELATAN,TABALONG,JARO,15731.0,4.52711996,5382.0,271.59,1.0,1.0,1.0,29.0,9.0,,56.0,2.0,3019.0,3502.0,1980.0,441.0
,330203.0,JAWA TENGAH,BANYUMAS,JATILAWANG,71002.0,50.81468393,23899.0,49.08,1.0,1.0,1.0,130.0,11.0,,89.0,17.0,2244.0,18490.0,9696.0,1622.0
,321115.0,JAWA BARAT,SUMEDANG,JATINANGOR,93636.0,59.66847231,31495.0,26.37,1.0,2.0,2.0,338.0,12.0,,191.0,3.0,11212.0,17990.0,25929.0,4052.0
,317503.0,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,329325.0,1778.50898468,109813.0,10.45,1.0,1.0,2.0,1308.0,,8.0,80.0,5.0,25079.0,50906.0,130392.0,33657.0
,332807.0,JAWA TENGAH,TEGAL,JATINEGARA,66845.0,67.43056466,22098.0,113.82,1.0,2.0,2.0,163.0,17.0,,35.0,14.0,779.0,14477.0,6319.0,910.0
,331020.0,JAWA TENGAH,KLATEN,JATINOM,61526.0,87.00833647,21343.0,37.36,1.0,1.0,1.0,53.0,17.0,1.0,1157.0,1.0,2256.0,10582.0,14917.0,1977.0
,352302.0,JAWA TIMUR,TUBAN,JATIROGO,58485.0,29.40763648,19900.0,122.61,1.0,1.0,1.0,215.0,18.0,,1386.0,15.0,10723.0,8838.0,9313.0,2258.0
,350817.0,JAWA TIMUR,LUMAJANG,JATIROTO,47643.0,26.38420387,16555.0,60.0,1.0,2.0,2.0,98.0,6.0,,382.0,4.0,9139.0,9177.0,8648.0,1234.0
,321015.0,JAWA BARAT,MAJALENGKA,JATITUJUH,57026.0,42.54944857,22471.0,87.28,1.0,1.0,2.0,168.0,15.0,,92.0,8.0,10962.0,13036.0,8149.0,1240.0
,367102.0,BANTEN,KOTA TANGERANG,JATIUWUNG,107510.0,603.40235608,35525.0,14.55,2.0,2.0,2.0,543.0,,6.0,56.0,3.0,4847.0,22846.0,40789.0,3200.0
,120819.0,SUMATERA UTARA,SIMALUNGUN,JAWA MARAJA BAH JAMBI,24044.0,5.30460111,8006.0,63.74,1.0,1.0,1.0,336.0,8.0,,17.0,1.0,3441.0,5564.0,7326.0,491.0
,321522.0,JAWA BARAT,KARAWANG,JAYAKERTA,70343.0,36.5723596,25000.0,41.89,2.0,2.0,2.0,228.0,8.0,,13.0,8.0,2469.0,12522.0,7712.0,837.0
,360302.0,BANTEN,TANGERANG,JAYANTI,70728.0,68.06278138,23384.0,22.88,1.0,2.0,2.0,226.0,8.0,,46.0,4.0,5026.0,17886.0,17753.0,1314.0
,620802.0,KALIMANTAN TENGAH,SUKAMARA,JELAI,5715.0,1.67822884,1885.0,375.47,2.0,2.0,1.0,45.0,4.0,1.0,30.0,377.0,491.0,1346.0,763.0,193.0
,640711.0,KALIMANTAN TIMUR,KUTAI BARAT,JEMPANG,12194.0,0.86656126,4059.0,642.44,1.0,1.0,2.0,34.0,12.0,,18.0,486.0,674.0,3974.0,1776.0,348.0
,327401.0,JAWA BARAT,KOTA CIREBON,KEJAKSAN,51268.0,1285.56225612,17101.0,4.43,1.0,1.0,2.0,201.0,,4.0,76.0,207.0,3842.0,13592.0,15706.0,3402.0
,340209.0,DAERAH ISTIMEWA YOGYAKARTA,BANTUL,JETIS,59554.0,116.0607849,21349.0,24.93,1.0,1.0,1.0,64.0,4.0,,105.0,1.0,5171.0,11264.0,17946.0,3800.0
,352406.0,JAWA TIMUR,LAMONGAN,KEDUNGPRING,62045.0,35.32700789,21026.0,86.6,1.0,1.0,1.0,257.0,23.0,,39.0,25.0,16050.0,14820.0,12065.0,1856.0
,330101.0,JAWA TENGAH,CILACAP,KEDUNGREJA,92606.0,39.65014377,30244.0,82.72,1.0,1.0,2.0,161.0,11.0,,76.0,16.0,7835.0,23121.0,11974.0,1664.0
