kabupaten_kota,kecamatan,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long,jumlah_penduduk
kota bekasi,jatisampurna,63.06,94.891,37.38,69.311,Built-up,0.349,0.278,40.561,2020,1,0,-6.3654,106.9249,114108.0
kota bekasi,medansatria,66.118,93.545,37.38,10.53,Built-up,0.184,0.136,37.599,2020,1,1,-6.1989,106.9836,158729.0
kota bekasi,mustikajaya,64.857,88.945,37.38,32.768,Built-up,0.208,0.179,37.489,2020,1,1,-6.3076,107.0166,216604.0
kota bekasi,pondokgede,65.74,92.537,37.38,24.987,Built-up,0.269,0.142,40.488,2020,1,1,-6.2691,106.9299,227423.0
kota bekasi,pondokmelati,64.251,89.577,37.38,38.409,Built-up,0.288,0.242,40.561,2020,1,0,-6.3095,106.9282,128690.0
kota bekasi,rawalumbu,63.86,86.791,37.38,27.96,Built-up,0.129,0.131,39.374,2020,1,1,-6.2812,106.9942,222398.0
jakarta barat,cengkareng,68.808,117.136,39.42,5.286,Built-up,0.171,0.059,37.442,2020,1,1,-6.1515,106.7369,591748.0
jakarta barat,grogolpetamburan,65.941,116.9,39.42,6.01,Built-up,0.176,0.06,37.605,2020,1,0,-6.1634,106.7865,237367.0
jakarta barat,kalideres,68.471,118.009,39.42,5.258,Built-up,0.21,0.071,37.386,2020,1,1,-6.1346,106.7039,468017.0
jakarta barat,kebonjeruk,65.066,113.665,39.42,10.059,Built-up,0.155,0.118,37.605,2020,1,0,-6.1895,106.7691,370282.0
jakarta barat,kembangan,66.55,113.21,39.42,10.349,Built-up,0.22,0.126,37.466,2020,1,1,-6.1982,106.7418,315702.0
jakarta barat,palmerah,67.181,117.76,39.42,10.559,Built-up,0.138,0.122,37.605,2020,1,0,-6.1917,106.7956,233786.0
jakarta barat,tamansari,85.52,142.892,39.42,6.894,Tree cover,0.091,0.061,37.605,2020,1,0,-6.1481,106.8184,126736.0
jakarta barat,tambora,81.779,136.746,39.42,5.895,Built-up,0.105,0.048,37.605,2020,1,0,-6.1475,106.8035,267877.0
jakarta utara,cilincing,72.217,105.177,38.27,3.19,Built-up,0.237,0.068,37.605,2020,1,0,-6.1243,106.9421,453521.0
jakarta utara,kelapagading,72.509,112.714,38.27,5.514,Built-up,0.155,0.062,37.605,2020,1,1,-6.161,106.9037,146701.0
jakarta utara,koja,73.291,108.322,38.27,3.739,Built-up,0.148,0.063,37.605,2020,1,0,-6.1215,106.905,351261.0
jakarta utara,pademangan,85.351,137.337,38.27,3.198,Built-up,0.183,0.104,37.605,2020,1,0,-6.1301,106.8381,170512.0
jakarta utara,penjaringan,73.338,120.98,38.27,3.083,Built-up,0.182,0.074,37.55,2020,1,0,-6.115,106.7639,331310.0
jakarta utara,tanjungpriok,72.868,113.187,38.27,4.06,Built-up,0.138,0.101,37.605,2020,1,1,-6.1319,106.875,419791.0
jakarta selatan,cilandak,64.09,100.388,39.11,37.329,Built-up,0.232,0.193,40.561,2020,1,1,-6.2927,106.7933,229201.0
jakarta selatan,jagakarsa,65.335,98.661,39.11,57.304,Built-up,0.268,0.27,40.561,2020,1,0,-6.334,106.8224,383275.0
jakarta selatan,kebayoranbaru,66.954,107.513,39.11,22.272,Built-up,0.247,0.16,38.506,2020,1,1,-6.2447,106.8014,155693.0
jakarta selatan,kebayoranlama,65.282,103.704,39.11,25.395,Built-up,0.224,0.143,39.143,2020,1,0,-6.2495,106.7801,333904.0
jakarta selatan,mampangprapatan,66.993,108.089,39.11,21.604,Built-up,0.232,0.146,38.95,2020,1,1,-6.2523,106.821,159222.0
jakarta selatan,pancoran,66.467,101.626,39.11,25.372,Built-up,0.17,0.19,39.521,2020,1,1,-6.2553,106.8436,179798.0
jakarta selatan,pasarminggu,65.287,101.136,39.11,35.89,Built-up,0.228,0.23,40.561,2020,1,1,-6.2908,106.8293,335189.0
jakarta selatan,pesanggrahan,65.549,104.584,39.11,23.82,Built-up,0.274,0.178,38.896,2020,1,1,-6.2504,106.7587,272483.0
jakarta selatan,setiabudi,68.621,110.599,39.11,17.99,Built-up,0.138,0.133,37.605,2020,1,1,-6.2196,106.83,116915.0
jakarta selatan,tebet,69.633,106.878,39.11,17.948,Built-up,0.127,0.137,37.605,2020,1,1,-6.2289,106.8509,240402.0
jakarta timur,cakung,69.922,103.328,39.33,7.969,Built-up,0.196,0.102,37.605,2020,1,0,-6.1885,106.9409,596213.0
jakarta timur,cipayung,63.847,89.781,39.33,48.413,Built-up,0.36,0.257,40.561,2020,1,0,-6.4297,106.8028,308484.0
jakarta timur,ciracas,63.696,89.865,39.33,53.48,Built-up,0.27,0.263,40.561,2020,1,1,-6.3339,106.8784,327813.0
jakarta timur,durensawit,69.026,99.071,39.33,16.888,Built-up,0.211,0.139,37.645,2020,1,1,-6.2325,106.9206,457134.0
jakarta timur,jatinegara,70.0,105.527,39.33,18.159,Built-up,0.16,0.126,37.605,2020,1,1,-6.2273,106.8774,329325.0
jakarta timur,kramatjati,64.974,88.081,39.33,30.295,Built-up,0.193,0.152,40.289,2020,1,1,-6.2763,106.8654,325368.0
jakarta timur,makasar,65.838,91.093,39.33,25.658,Built-up,0.266,0.16,39.917,2020,1,1,-6.2663,106.8911,228488.0
jakarta timur,matraman,70.4,108.66,39.33,12.702,Built-up,0.16,0.132,37.605,2020,1,0,-6.2036,106.8645,190489.0
jakarta timur,pasarrebo,64.258,90.123,39.33,48.623,Built-up,0.26,0.252,40.561,2020,1,1,-6.3264,106.8573,242045.0
jakarta timur,pulogadung,71.15,113.025,39.33,10.47,Built-up,0.18,0.136,37.605,2020,1,1,-6.1932,106.889,309037.0
jakarta pusat,cempakaputih,71.772,119.409,39.51,8.401,Built-up,0.154,0.095,37.605,2020,1,0,-6.1809,106.8681,98622.0
jakarta pusat,gambir,72.322,128.435,39.51,7.605,Built-up,0.127,0.061,37.605,2020,1,0,-6.1715,106.8181,95807.0
jakarta pusat,joharbaru,71.776,119.454,39.51,8.969,Built-up,0.158,0.076,37.605,2020,1,0,-6.1821,106.8546,140469.0
jakarta pusat,kemayoran,71.921,120.964,39.51,6.168,Built-up,0.134,0.103,37.605,2020,1,0,-6.1627,106.8558,255632.0
jakarta pusat,menteng,71.052,120.722,39.51,10.741,Built-up,0.198,0.099,37.605,2020,1,0,-6.1958,106.8353,87964.0
jakarta pusat,sawahbesar,82.428,139.517,39.51,7.059,Built-up,0.122,0.09,37.605,2020,1,0,-6.1539,106.8332,126019.0
jakarta pusat,senen,72.035,123.383,39.51,10.007,Built-up,0.193,0.092,37.605,2020,1,0,-6.1842,106.8459,124341.0
